Name,Critic_Score,Critic_Count,User_Score,User_Count
Need for Speed Underground,85.0,33.0,8.6,171.0
Just Dance,49.0,21.0,8,110.0
Battlefield 3,85.0,38.0,7.5,1761.0
Fallout 4,87.0,58.0,6.5,4228.0
Tekken 3,96.0,15.0,9.1,367.0
The Legend of Zelda: Twilight Princess,95.0,73.0,9,1658.0
Crash Bandicoot 3: Warped,91.0,12.0,8.9,432.0
Mario Kart 8,88.0,82.0,9.1,1599.0
Super Smash Bros. Melee,92.0,38.0,9.1,568.0
Need for Speed Underground 2,82.0,39.0,8.6,132.0
Medal of Honor: Frontline,88.0,29.0,8.5,135.0
Just Dance 4,74.0,10.0,7.3,28.0
Gears of War 2,93.0,90.0,7.7,2739.0
Uncharted 3: Drake's Deception,92.0,97.0,8.3,3712.0
Call of Duty 4: Modern Warfare,94.0,44.0,8.4,993.0
Uncharted 2: Among Thieves,96.0,105.0,8.8,5187.0
Big Brain Academy,74.0,45.0,7.4,27.0
Red Dead Redemption,95.0,73.0,8.8,2456.0
FIFA 14,86.0,37.0,4.3,576.0
Assassin's Creed III,85.0,41.0,6.9,1307.0
Donkey Kong Country Returns,87.0,77.0,8.6,368.0
Halo: Combat Evolved,97.0,68.0,8.6,1283.0
The Elder Scrolls V: Skyrim,92.0,16.0,6.4,2527.0
Pokémon Emerald Version,76.0,28.0,9,222.0
Kingdom Hearts,85.0,46.0,8.8,597.0
Halo 3: ODST,83.0,94.0,7.1,1163.0
Red Dead Redemption,95.0,96.0,9,2316.0
Super Mario Sunshine,92.0,61.0,8.6,439.0
World of Warcraft,93.0,57.0,7.3,2182.0
Driver,87.0,22.0,8.1,78.0
Gears of War 3,91.0,96.0,7.8,1504.0
Kinect Sports,73.0,51.0,7.4,95.0
Gears of War,94.0,88.0,8.3,2295.0
FIFA 15,82.0,47.0,5.7,988.0
Metal Gear Solid 2: Sons of Liberty,96.0,42.0,8.7,1026.0
Metal Gear Solid,94.0,20.0,9.4,918.0
Metal Gear Solid 4: Guns of the Patriots,94.0,82.0,8.7,3558.0
Final Fantasy XII,92.0,64.0,7.6,972.0
The Last of Us,95.0,98.0,9.1,8003.0
LittleBigPlanet,95.0,85.0,6.8,5311.0
Resident Evil 2,89.0,13.0,9.2,364.0
Dragon Quest IX: Sentinels of the Starry Skies,87.0,65.0,8.8,197.0
Tekken 2,89.0,8.0,8.9,102.0
Destiny,76.0,95.0,6.1,5380.0
LEGO Star Wars: The Complete Saga,80.0,17.0,8.9,62.0
Cooking Mama,67.0,35.0,7.2,21.0
Assassin's Creed II,91.0,70.0,8.6,1202.0
Assassin's Creed,81.0,77.0,7.7,1074.0
Forza Motorsport 3,92.0,90.0,8,516.0
Super Mario Advance,84.0,19.0,7.8,41.0
Monster Hunter Freedom Unite,81.0,48.0,8.7,124.0
Batman: Arkham City,96.0,42.0,8.6,2162.0
Grand Theft Auto V,97.0,14.0,7.9,764.0
Mario Kart: Super Circuit,93.0,24.0,8.3,108.0
Crash Bandicoot: The Wrath of Cortex,66.0,22.0,7.1,156.0
Call of Duty: World at War,85.0,45.0,7.6,409.0
Uncharted 4: A Thief's End,93.0,113.0,7.9,7064.0
Final Fantasy XIII,83.0,83.0,7.3,2483.0
Final Fantasy IX,94.0,22.0,8.9,779.0
Assassin's Creed III,84.0,61.0,6.7,1196.0
Final Fantasy X-2,85.0,45.0,6.6,400.0
Call of Duty: Advanced Warfare,81.0,53.0,5.4,898.0
Assassin's Creed II,90.0,82.0,8.8,1305.0
New Super Mario Bros. U,84.0,70.0,8.1,733.0
Dragon Quest VIII: Journey of the Cursed King,89.0,63.0,8.8,245.0
Professor Layton and the Curious Village,85.0,72.0,8.6,147.0
FIFA Soccer 13,90.0,48.0,6.1,403.0
Diablo III,88.0,86.0,4,9629.0
Medal of Honor: Rising Sun,68.0,30.0,7.6,100.0
Guitar Hero II,92.0,69.0,8.5,112.0
Fable III,80.0,88.0,6.5,604.0
Resident Evil 5,84.0,76.0,7.5,667.0
The Legend of Zelda: Phantom Hourglass,90.0,57.0,8,416.0
FIFA Soccer 11,89.0,51.0,8,233.0
Resident Evil,91.0,8.0,9,266.0
Grand Theft Auto: Vice City Stories,86.0,50.0,8,150.0
Tony Hawk's Pro Skater,92.0,18.0,9.2,69.0
Guitar Hero III: Legends of Rock,82.0,24.0,8.2,46.0
Link's Crossbow Training,68.0,34.0,7.1,47.0
Fallout 3,93.0,84.0,8.5,1655.0
Uncharted: Drake's Fortune,88.0,66.0,8.1,2306.0
Madden NFL 06,88.0,29.0,8,121.0
StarCraft II: Wings of Liberty,93.0,82.0,8.2,3052.0
Assassin's Creed,81.0,40.0,7.3,769.0
God of War III,92.0,101.0,8.7,2633.0
Crash Team Racing,88.0,20.0,9,233.0
LEGO Star Wars: The Complete Saga,80.0,9.0,5.4,46.0
Driver 2,62.0,14.0,7.7,92.0
Batman: Arkham City,94.0,87.0,8.7,1472.0
Tony Hawk's Pro Skater 2,98.0,19.0,7.7,299.0
The Lord of the Rings: The Two Towers,82.0,32.0,8.2,78.0
Tomb Raider,91.0,13.0,8.6,147.0
Animal Crossing: City Folk,73.0,50.0,7.6,119.0
Uncharted: The Nathan Drake Collection,86.0,78.0,8.1,1264.0
The Legend of Zelda: The Wind Waker,96.0,80.0,8.9,968.0
Guitar Hero III: Legends of Rock,86.0,36.0,8.4,87.0
Luigi's Mansion: Dark Moon,86.0,74.0,8.4,458.0
Forza Motorsport 4,91.0,83.0,8.2,617.0
Madden NFL 2005,91.0,30.0,7.9,78.0
Guitar Hero III: Legends of Rock,85.0,69.0,7.9,165.0
Madden NFL 07,84.0,29.0,8.2,39.0
Halo 5: Guardians,84.0,101.0,6.4,2438.0
Spider-Man: The Movie,76.0,25.0,7.9,41.0
Call of Duty: Infinite Warfare,77.0,82.0,3.4,1129.0
God of War,94.0,75.0,8.9,997.0
Splatoon,81.0,88.0,8.5,1184.0
Nintendo Land,77.0,61.0,7.9,471.0
Tony Hawk's Pro Skater 3,97.0,34.0,7.5,298.0
Winning Eleven: Pro Evolution Soccer 2007,86.0,19.0,8.9,33.0
The Elder Scrolls IV: Oblivion,94.0,90.0,8.7,1109.0
Need for Speed: Most Wanted,82.0,36.0,9.1,137.0
Michael Jackson: The Experience,56.0,37.0,8.3,31.0
Resistance: Fall of Man,86.0,70.0,8.1,715.0
Kingdom Hearts II,87.0,64.0,9,766.0
Super Mario 3D World,93.0,83.0,9,1607.0
Fable II,89.0,95.0,6.5,2423.0
Namco Museum,79.0,10.0,7.3,6.0
Batman: Arkham Asylum,91.0,70.0,8.9,1122.0
Metal Gear Solid 3: Snake Eater,91.0,68.0,9.3,955.0
Assassin's Creed: Revelations,80.0,39.0,7.5,613.0
Fallout 4,88.0,39.0,6.2,1749.0
FIFA 14,84.0,41.0,4.2,435.0
Daxter,85.0,59.0,8.7,109.0
FIFA Soccer 06,80.0,32.0,7.8,47.0
EyeToy Play,80.0,32.0,7.5,22.0
Gran Turismo 5 Prologue,80.0,67.0,7.1,120.0
Assassin's Creed: Revelations,80.0,77.0,7.2,564.0
Street Fighter IV,94.0,61.0,7.3,330.0
Madden NFL 2003,95.0,25.0,7.7,65.0
Half-Life,96.0,24.0,9.1,3161.0
World of Warcraft: The Burning Crusade,91.0,46.0,7.9,785.0
Battlefield 1,88.0,31.0,8.4,809.0
God of War II,93.0,70.0,8.9,709.0
Fallout: New Vegas,84.0,81.0,8.1,769.0
Forza Motorsport 2,90.0,66.0,8.3,381.0
Carnival Games,56.0,27.0,6,44.0
Watch Dogs,80.0,80.0,6.3,2996.0
Tekken Tag Tournament,85.0,25.0,8.5,117.0
Far Cry 4,85.0,83.0,7.7,1653.0
Left 4 Dead 2,89.0,76.0,8.6,681.0
The Witcher 3: Wild Hunt,92.0,79.0,9.2,10179.0
Assassin's Creed: Unity,70.0,40.0,4.9,2050.0
Batman: Arkham Knight,87.0,89.0,7.6,2679.0
The Legend of Zelda: Skyward Sword,93.0,81.0,8,1958.0
Fallout 3,90.0,57.0,8,910.0
Professor Layton and the Diabolical Box,84.0,65.0,8.8,72.0
EA Sports Active,81.0,27.0,8.7,39.0
Tony Hawk's Underground,90.0,38.0,8.7,121.0
Monster Hunter 4 Ultimate,86.0,80.0,8.7,348.0
The Elder Scrolls V: Skyrim,94.0,32.0,8.1,9073.0
NBA 2K16,87.0,51.0,6.7,364.0
Tekken 5,88.0,62.0,8.6,229.0
MotorStorm,84.0,9.0,7.4,220.0
World Soccer Winning Eleven 8 International,91.0,26.0,9.1,38.0
Sports Champions,76.0,64.0,7.9,104.0
Call of Duty: Ghosts,78.0,49.0,3.7,1564.0
Flash Focus: Vision Training in Minutes a Day,59.0,22.0,4,4.0
Tom Clancy's The Division,80.0,64.0,7,2219.0
Big Brain Academy: Wii Degree,68.0,33.0,6.9,39.0
LEGO Indiana Jones: The Original Adventures,77.0,60.0,7.5,66.0
The Sims: Unleashed,79.0,21.0,8,29.0
Harry Potter and the Sorcerer's Stone,64.0,11.0,7.5,41.0
Super Paper Mario,85.0,56.0,7.9,417.0
Spyro: Year of the Dragon,91.0,15.0,8.8,207.0
Assassin's Creed IV: Black Flag,88.0,36.0,8.1,840.0
FIFA Soccer 2005,81.0,27.0,7.6,56.0
Tony Hawk's Pro Skater 4,94.0,27.0,8.5,128.0
MySims,67.0,15.0,7.3,13.0
Midnight Club 3: DUB Edition,74.0,34.0,8.4,31.0
SOCOM: U.S. Navy SEALs,82.0,42.0,7.9,82.0
Jak and Daxter: The Precursor Legacy,90.0,35.0,8.7,312.0
Pro Evolution Soccer 2008,82.0,10.0,7.9,38.0
Resident Evil 4,96.0,38.0,8.9,1013.0
Guitar Hero: World Tour,86.0,18.0,7.6,71.0
FIFA Soccer 10,91.0,56.0,7.6,203.0
Star Wars: Battlefront,82.0,36.0,8.7,142.0
The Simpsons: Road Rage,64.0,23.0,7.7,32.0
Luigi's Mansion,78.0,34.0,8.5,161.0
Battlefield 4,85.0,18.0,6.9,1580.0
Star Wars: Battlefront II,84.0,30.0,9,268.0
Cooking Mama 2: Dinner With Friends,70.0,39.0,8,9.0
Grand Theft Auto: Liberty City Stories,78.0,49.0,7.8,112.0
The Getaway,72.0,49.0,6.8,88.0
James Bond 007: Agent Under Fire,72.0,27.0,7.9,48.0
FIFA Soccer 11,88.0,66.0,7.5,155.0
Left 4 Dead,89.0,67.0,7.9,1309.0
Assassin's Creed: Unity,72.0,59.0,4.1,1005.0
Resident Evil 5,83.0,91.0,7.5,523.0
Assassin's Creed: Brotherhood,89.0,81.0,8.3,693.0
Battlefield 4,80.0,14.0,5.8,579.0
Batman: Arkham Asylum,92.0,78.0,8.7,1080.0
Battlefield 4,79.0,21.0,5.6,542.0
Battlefield: Bad Company 2,88.0,75.0,8.6,869.0
Guitar Hero: On Tour,71.0,70.0,8.8,29.0
Clubhouse Games,83.0,30.0,8.4,28.0
Borderlands,84.0,83.0,8.2,715.0
Tekken 4,79.0,23.0,8.3,126.0
Grand Theft Auto 2,70.0,15.0,8,67.0
Metal Gear Solid V: The Phantom Pain,93.0,86.0,8.2,3943.0
Spider-Man 2,80.0,50.0,8.9,106.0
FIFA Soccer 2003,88.0,15.0,6.7,35.0
LittleBigPlanet 2,91.0,86.0,8.4,657.0
Crash Bash,68.0,12.0,8.2,99.0
Assassin's Creed Syndicate,76.0,86.0,6.8,1319.0
LEGO Batman: The Videogame,76.0,49.0,7.9,75.0
Destiny,75.0,11.0,5.5,1735.0
Far Cry 3,90.0,32.0,8.5,1041.0
James Bond 007: Nightfire,77.0,20.0,8.5,66.0
Star Wars Episode III: Revenge of the Sith,60.0,34.0,7.2,82.0
The Legend of Zelda: Spirit Tracks,87.0,75.0,7.8,228.0
Max Payne,80.0,21.0,8.5,86.0
Assassin's Creed IV: Black Flag,86.0,35.0,7.9,701.0
The Lord of the Rings: The Return of the King,85.0,31.0,8.7,105.0
Gears of War: Ultimate Edition,82.0,74.0,7.5,563.0
True Crime: Streets of LA,77.0,39.0,8,94.0
Professor Layton and the Unwound Future,86.0,62.0,9.2,111.0
FIFA 16,84.0,45.0,4.4,459.0
Wii Music,63.0,43.0,4.6,116.0
Madden NFL 16,83.0,37.0,5.9,180.0
Gran Turismo 6,81.0,81.0,7.7,758.0
Halo: The Master Chief Collection,85.0,69.0,7.2,1267.0
Super Mario Maker,88.0,85.0,8.7,691.0
God of War: Chains of Olympus,91.0,79.0,8.6,565.0
Enter the Matrix,62.0,30.0,8.1,137.0
Crisis Core: Final Fantasy VII,83.0,67.0,8,463.0
Dance Central,82.0,63.0,7.6,85.0
L.A. Noire,89.0,78.0,7.7,1010.0
Ace Combat 04: Shattered Skies,89.0,22.0,9.1,95.0
Animal Crossing,87.0,42.0,8.9,137.0
FIFA Soccer 08,83.0,12.0,6.5,36.0
Spider-Man,87.0,19.0,9,107.0
Mario Party 9,73.0,45.0,6.8,155.0
Sonic Rush,82.0,43.0,8.5,101.0
Rhythm Heaven,83.0,48.0,9,63.0
Fallout: New Vegas,82.0,57.0,7.8,492.0
Personal Trainer: Cooking,81.0,12.0,7.8,10.0
The Elder Scrolls IV: Oblivion,93.0,45.0,8,604.0
The Legend of Zelda: A Link Between Worlds,91.0,81.0,8.9,1057.0
Resident Evil 6,74.0,34.0,5.4,1304.0
Mass Effect 2,96.0,98.0,8.9,3143.0
Dragon Ball Z: Budokai,67.0,28.0,7.9,71.0
Madden NFL 2002,94.0,23.0,7.9,46.0
The Sims: Vacation,75.0,18.0,7.8,22.0
Animal Crossing: Happy Home Designer,66.0,60.0,6.9,106.0
The Sims 4,70.0,74.0,3.9,2057.0
Borderlands 2,89.0,59.0,8.2,892.0
LEGO Batman: The Videogame,72.0,16.0,8,16.0
Kung Fu Panda,75.0,42.0,7.4,32.0
Mass Effect 3,93.0,74.0,5.8,3725.0
Heavy Rain,87.0,107.0,7.7,2759.0
Saints Row 2,81.0,75.0,8.1,307.0
Tom Clancy's Splinter Cell,93.0,46.0,8.5,121.0
FIFA 14,87.0,26.0,6.3,616.0
Killzone 2,91.0,94.0,8.1,1505.0
Far Cry 3,91.0,39.0,8.6,1247.0
Epic Mickey,73.0,78.0,7,131.0
NBA 2K13,88.0,41.0,7.2,131.0
Dragon Ball Z: Budokai Tenkaichi 3,73.0,24.0,9.2,173.0
The Sims: Livin Large,82.0,23.0,6.6,20.0
World Soccer Winning Eleven 6 International,93.0,24.0,9.1,65.0
Devil May Cry,94.0,37.0,8.5,466.0
Star Wars: The Old Republic,85.0,73.0,5.9,2748.0
Middle-Earth: Shadow of Mordor,84.0,85.0,8.1,1886.0
Sonic Heroes,64.0,29.0,7.8,94.0
Hitman 2: Silent Assassin,85.0,19.0,7.8,78.0
Titanfall,86.0,68.0,6.4,2658.0
Battlefield: Bad Company 2,88.0,59.0,8.5,572.0
SOCOM II: U.S. Navy SEALs,87.0,42.0,9,93.0
Pac-Man Collection,79.0,13.0,7.8,4.0
Street Fighter IV,93.0,77.0,7.3,292.0
inFAMOUS,85.0,98.0,8.3,1172.0
Kirby Super Star Ultra,76.0,40.0,8.8,76.0
Call of Duty: Ghosts,78.0,7.0,4.3,700.0
Mass Effect,91.0,74.0,8.7,1692.0
Sonic Mega Collection Plus,73.0,21.0,8.6,30.0
World Soccer Winning Eleven 7 International,93.0,28.0,9,45.0
Sega Superstars Tennis,67.0,45.0,6.8,18.0
Hot Shots Golf 3,85.0,30.0,8.9,16.0
Cooking Mama: Cook Off,61.0,37.0,5.3,23.0
Call of Duty: Finest Hour,76.0,49.0,7.7,69.0
WarioWare: Smooth Moves,83.0,61.0,7.4,179.0
Madden NFL 13,81.0,36.0,5.8,179.0
The Elder Scrolls III: Morrowind,87.0,34.0,8.7,111.0
Assassin's Creed IV: Black Flag,83.0,29.0,7.8,1530.0
Mortal Kombat,84.0,60.0,8.4,494.0
Madden NFL 10,85.0,58.0,6.1,90.0
BioShock,96.0,88.0,8.9,2249.0
Metroid Prime,97.0,70.0,9.3,747.0
Assassin's Creed: Brotherhood,90.0,59.0,8.2,791.0
Medal of Honor,75.0,56.0,7.5,286.0
inFAMOUS: Second Son,80.0,90.0,7.9,2944.0
NBA Street,89.0,22.0,8.6,39.0
Jak II,87.0,47.0,8.2,241.0
Need for Speed: Hot Pursuit,89.0,59.0,7.2,301.0
Skylanders: Spyro's Adventure,81.0,11.0,5.6,31.0
Battlefield 3,89.0,61.0,7.5,4926.0
Mortal Kombat X,83.0,81.0,7.7,836.0
The Sims,83.0,33.0,7.7,46.0
Killzone 3,84.0,85.0,7.9,942.0
Star Wars: The Force Unleashed,73.0,74.0,6.7,389.0
Yoshi's Island DS,81.0,42.0,7.4,67.0
Saints Row: The Third,84.0,70.0,7.6,490.0
Tekken 6,79.0,63.0,7.4,211.0
Sonic and the Secret Rings,69.0,44.0,6.6,174.0
The Legend of Zelda: A Link to the Past,95.0,30.0,9.1,314.0
Onimusha: Warlords,86.0,23.0,8.2,56.0
L.A. Noire,89.0,83.0,7.8,893.0
Call of Duty 3,82.0,71.0,6.5,233.0
Madden NFL 12,78.0,55.0,5.9,94.0
LEGO Star Wars II: The Original Trilogy,84.0,32.0,9,41.0
Killzone: Shadow Fall,73.0,88.0,6.8,2102.0
Madden NFL 11,84.0,47.0,5.7,120.0
Burnout 3: Takedown,93.0,52.0,9.1,271.0
Mario vs. Donkey Kong: Mini-Land Mayhem!,79.0,51.0,7.7,18.0
Professor Layton and the Last Specter,83.0,58.0,8.7,52.0
Call Of Duty 2: Big Red One,77.0,39.0,8.2,69.0
Medal of Honor,92.0,17.0,8.6,80.0
Fable,85.0,87.0,8.5,268.0
Guitar Hero: World Tour,85.0,67.0,6.3,171.0
FIFA 17,84.0,50.0,5.5,201.0
Tom Clancy's Splinter Cell,89.0,24.0,7.7,102.0
Need for Speed: Shift,84.0,55.0,6.9,113.0
Medal of Honor Heroes,71.0,24.0,7.9,47.0
Final Fantasy XIII-2,79.0,53.0,6.6,707.0
Midnight Club: Street Racing,78.0,18.0,7.8,21.0
Skate 3,80.0,65.0,8,127.0
ESPN NFL 2K5,90.0,37.0,8.2,84.0
Halo Wars,82.0,92.0,7.2,454.0
NBA 2K12,90.0,42.0,7.7,134.0
FIFA Soccer 10,90.0,63.0,7.5,133.0
Medal of Honor,74.0,71.0,6.7,288.0
Harry Potter and the Chamber of Secrets,71.0,16.0,7.6,49.0
God of War Collection,91.0,50.0,8.7,529.0
NBA Live 2005,84.0,21.0,8.1,44.0
Mario Strikers Charged,79.0,47.0,8,124.0
FIFA Soccer 09,87.0,42.0,7.5,108.0
Style Savvy,73.0,4.0,7.7,7.0
WWE SmackDown vs. RAW 2007,80.0,27.0,8.6,57.0
LEGO Star Wars: The Complete Saga,80.0,24.0,7.4,114.0
Madden NFL 08,78.0,11.0,7.8,17.0
Monster Hunter Freedom 2,72.0,38.0,8.7,83.0
Sonic Adventure 2 Battle,73.0,28.0,8.3,179.0
Madden NFL 13,83.0,22.0,5.5,101.0
Dragon Age: Origins,86.0,68.0,7.9,725.0
Pokémon Colosseum,73.0,37.0,8,89.0
LittleBigPlanet,87.0,68.0,7.8,98.0
Madden NFL 09,83.0,50.0,7,125.0
Crazy Taxi,80.0,15.0,7.9,46.0
Art Academy,75.0,15.0,8,5.0
NBA 2K14,87.0,23.0,4.9,150.0
Skylanders Giants,78.0,8.0,7,20.0
Deca Sports,50.0,23.0,5.4,16.0
Marvel: Ultimate Alliance,82.0,68.0,7.5,120.0
Mortal Kombat: Deadly Alliance,79.0,31.0,8.8,96.0
Game Party,25.0,8.0,4.3,26.0
Bloodborne,92.0,100.0,8.6,6383.0
Mario Party 4,70.0,26.0,7.4,74.0
Pure,85.0,55.0,7.7,83.0
NBA 2K13,90.0,26.0,8,99.0
Saints Row: The Third,82.0,50.0,7.7,384.0
Resistance 2,87.0,79.0,6.1,1889.0
NBA 2K15,83.0,50.0,7,291.0
Final Fantasy Tactics,83.0,12.0,8.2,190.0
Midnight Club: Los Angeles,82.0,50.0,8.2,100.0
The Sims: Bustin' Out,81.0,26.0,8.4,42.0
LEGO Harry Potter: Years 1-4,79.0,13.0,8,34.0
Call of Duty: Infinite Warfare,78.0,17.0,3.1,290.0
Madden NFL 16,84.0,23.0,6.1,124.0
Tom Clancy's Rainbow Six: Vegas 2,82.0,66.0,7.8,176.0
Need for Speed Carbon: Own the City,73.0,14.0,7.9,39.0
Dragon Ball Z: Budokai 2,66.0,28.0,8.2,92.0
pro evolution soccer 2011,77.0,40.0,6.8,85.0
ATV Offroad Fury,82.0,16.0,8.4,53.0
Need for Speed: ProStreet,62.0,11.0,6.2,34.0
Halo: Combat Evolved Anniversary,82.0,73.0,8.1,487.0
Guitar Hero,91.0,65.0,8.7,173.0
Madden NFL 11,83.0,36.0,6.1,68.0
Dead Island,71.0,75.0,6.9,627.0
Half-Life 2,96.0,81.0,9.1,8665.0
The Incredibles,62.0,36.0,7.6,22.0
Madden NFL 08,85.0,46.0,6.4,108.0
Tony Hawk's Underground 2,83.0,59.0,8.8,55.0
Zumba Fitness,42.0,10.0,5.5,16.0
Madden NFL 10,85.0,41.0,6.8,58.0
Midnight Club: Los Angeles,81.0,66.0,8.5,142.0
Kinect: Disneyland Adventures,73.0,33.0,2.9,67.0
WWE SmackDown vs Raw 2008,71.0,11.0,7.2,31.0
The Legend of Zelda: Majora's Mask 3D,89.0,82.0,9,478.0
Resident Evil - Code: Veronica X,84.0,21.0,8.4,189.0
NBA 2K16,86.0,14.0,6.2,115.0
Kinect Sports: Season Two,66.0,46.0,6.5,39.0
James Bond 007: Everything or Nothing,84.0,42.0,9.1,51.0
Need For Speed: High Stakes,86.0,14.0,8.5,28.0
Guild Wars 2,90.0,69.0,7.9,2954.0
Paper Mario: Sticker Star,75.0,69.0,5.6,382.0
Batman: Arkham Origins,76.0,46.0,7.7,668.0
LEGO Star Wars: The Complete Saga,80.0,18.0,6.7,87.0
Need for Speed Underground 2,77.0,35.0,8.7,27.0
Pro Evolution Soccer 2010,78.0,42.0,6.7,76.0
FIFA Soccer 09,82.0,8.0,6.9,20.0
LEGO Harry Potter: Years 1-4,72.0,7.0,7.2,6.0
The Sims 3,76.0,42.0,7.1,71.0
Pokemon Ranger: Shadows of Almia,68.0,24.0,8.2,27.0
Dead Island,71.0,41.0,6.6,405.0
Kirby: Nightmare in Dream Land,81.0,24.0,8.9,54.0
Wario Land 4,88.0,17.0,8.9,42.0
Sonic's Ultimate Genesis Collection,80.0,35.0,8.6,43.0
Far Cry: Primal,76.0,91.0,6.3,635.0
Battlefield 1,87.0,37.0,8.2,440.0
Onimusha 2: Samurai's Destiny,84.0,31.0,9,52.0
Paper Mario: The Thousand-Year Door,87.0,55.0,9.4,306.0
Madden NFL 12,79.0,31.0,5.5,56.0
God of War: Ascension,80.0,89.0,7.5,914.0
Guitar Hero III: Legends of Rock,83.0,45.0,7.8,52.0
Sonic Advance,87.0,22.0,8.1,48.0
Super Monkey Ball: Banana Blitz,74.0,53.0,5.7,72.0
New Super Luigi U,77.0,59.0,7.9,288.0
Spyro: Season of Ice,74.0,16.0,8,13.0
Dissidia: Final Fantasy,79.0,61.0,8,139.0
Madden NFL 25,80.0,32.0,5.6,136.0
Borderlands 2,91.0,25.0,8.2,858.0
Prince of Persia: The Sands of Time,92.0,44.0,8.8,204.0
Monster Hunter Tri,84.0,70.0,8.6,219.0
LEGO Marvel Super Heroes,80.0,37.0,7.6,127.0
Tom Clancy's Rainbow Six: Siege,73.0,40.0,7.3,480.0
Star Wars: The Force Unleashed,71.0,47.0,6.6,233.0
Guitar Hero II,92.0,55.0,8.1,220.0
Forza Motorsport 5,79.0,76.0,5.9,1095.0
Rock Band 2,92.0,69.0,8.3,156.0
Need for Speed: Hot Pursuit,88.0,73.0,7,206.0
LEGO Indiana Jones: The Original Adventures,80.0,15.0,7.9,16.0
BioShock 2,88.0,93.0,8.2,573.0
Star Wars: Knights of the Old Republic,94.0,72.0,9.2,317.0
Madden NFL 15,81.0,37.0,6.1,208.0
Pro Evolution Soccer 2012,80.0,41.0,6.6,132.0
Saints Row,81.0,74.0,7.5,211.0
